Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,TII,TII Score
China, World,Import,  All Products,Import (US$ Thousand),1996,138832734.8,TII,1
China,Afghanistan,Import,  All Products,Import (US$ Thousand),1996,3454.525,TII,2.274545007
China,Bangladesh,Import,  All Products,Import (US$ Thousand),1996,34217.725,TII,4.128202903
China,Belarus,Import,  All Products,Import (US$ Thousand),1996,27625.341,TII,0.048941321
China,Egypt,Import,  All Products,Import (US$ Thousand),1996,3417.128,TII,0.842100642
China,India,Import,  All Products,Import (US$ Thousand),1996,719152.916,TII,0.751461881
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,TII,1.198521352
China,Iraq,Import,  All Products,Import (US$ Thousand),1996,113.132,TII,0.118866253
China,Israel,Import,  All Products,Import (US$ Thousand),1996,101466.503,TII,0.246030063
China,Japan,Import,  All Products,Import (US$ Thousand),1996,29180804.08,TII,3.807781249
China,South Korea,Import,  All Products,Import (US$ Thousand),1996,12481580.7,TII,2.222477906
China,Myanmar,Import,  All Products,Import (US$ Thousand),1996,137399.536,TII,6.390417541
China,Pakistan,Import,  All Products,Import (US$ Thousand),1996,342263.083,TII,2.369284242
China,Qatar,Import,  All Products,Import (US$ Thousand),1996,56756.51,TII,0.306179608
China,Russia,Import,  All Products,Import (US$ Thousand),1996,5151749.984,TII,1.026215257
China,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1996,829038.074,TII,0.836599863
China,Turkiye,Import,  All Products,Import (US$ Thousand),1996,94099.131,TII,0.3843772
China,UAE,Import,  All Products,Import (US$ Thousand),1996,67633.486,TII,1.456237973
China,United States,Import,  All Products,Import (US$ Thousand),1996,16155120.43,TII,1.184384771
China,Viet Nam,Import,  All Products,Import (US$ Thousand),1996,309361.516,TII,2.721471004
China, World,Export,  All Products,Export (US$ Thousand),1996,151047461.8,TII,1
China,Afghanistan,Export,  All Products,Export (US$ Thousand),1996,31305.162,TII,2.274545007
China,Bangladesh,Export,  All Products,Export (US$ Thousand),1996,653039.639,TII,4.128202903
China,Belarus,Export,  All Products,Export (US$ Thousand),1996,9467.258,TII,0.048941321
China,Egypt,Export,  All Products,Export (US$ Thousand),1996,404442.832,TII,0.842100642
China,India,Export,  All Products,Export (US$ Thousand),1996,686014.214,TII,0.751461881
China,Iran,Export,  All Products,Export (US$ Thousand),1996,394580.868,TII,1.198521352
China,Iraq,Export,  All Products,Export (US$ Thousand),1996,1034.51,TII,0.118866253
China,Israel,Export,  All Products,Export (US$ Thousand),1996,188631.848,TII,0.246030063
China,Japan,Export,  All Products,Export (US$ Thousand),1996,30886209.35,TII,3.807781249
China,South Korea,Export,  All Products,Export (US$ Thousand),1996,7499845.618,TII,2.222477906
China,Myanmar,Export,  All Products,Export (US$ Thousand),1996,521118.239,TII,6.390417541
China,Pakistan,Export,  All Products,Export (US$ Thousand),1996,623011.236,TII,2.369284242
China,Qatar,Export,  All Products,Export (US$ Thousand),1996,21602.373,TII,0.306179608
China,Russia,Export,  All Products,Export (US$ Thousand),1996,1692690.697,TII,1.026215257
China,Saudi Arabia,Export,  All Products,Export (US$ Thousand),1996,747796.768,TII,0.836599863
China,Turkiye,Export,  All Products,Export (US$ Thousand),1996,406604.503,TII,0.3843772
China,UAE,Export,  All Products,Export (US$ Thousand),1996,1076876.963,TII,1.456237973
China,United States,Export,  All Products,Export (US$ Thousand),1996,26705626.24,TII,1.184384771
China,Viet Nam,Export,  All Products,Export (US$ Thousand),1996,842128.018,TII,2.721471004
United States, World,Export,  All Products,Export (US$ Thousand),1996,622784142.7,TII,1
United States,Afghanistan,Export,  All Products,Export (US$ Thousand),1996,16873.83,TII,0.297350131
United States,Bangladesh,Export,  All Products,Export (US$ Thousand),1996,209643.554,TII,0.321424436
United States,Belarus,Export,  All Products,Export (US$ Thousand),1996,53025.78,TII,0.066483584
United States,China,Export,  All Products,Export (US$ Thousand),1996,11977746.41,TII,0.63436396
United States,Egypt,Export,  All Products,Export (US$ Thousand),1996,3146111.84,TII,1.588754884
United States,India,Export,  All Products,Export (US$ Thousand),1996,3318091.122,TII,0.881531905
United States,Iran,Export,  All Products,Export (US$ Thousand),1996,344.721,TII,0.000253953
United States,Iraq,Export,  All Products,Export (US$ Thousand),1996,2794.457,TII,0.077874845
United States,Israel,Export,  All Products,Export (US$ Thousand),1996,6009014.382,TII,1.900869432
United States,Japan,Export,  All Products,Export (US$ Thousand),1996,67514643.24,TII,2.018743972
United States,South Korea,Export,  All Products,Export (US$ Thousand),1996,26582874.32,TII,1.910569993
United States,Myanmar,Export,  All Products,Export (US$ Thousand),1996,32129.921,TII,0.09556052
United States,Pakistan,Export,  All Products,Export (US$ Thousand),1996,1277003.031,TII,1.177847598
United States,Qatar,Export,  All Products,Export (US$ Thousand),1996,207080.267,TII,0.7118515
United States,Russia,Export,  All Products,Export (US$ Thousand),1996,3340128.651,TII,0.491133932
United States,Saudi Arabia,Export,  All Products,Export (US$ Thousand),1996,7295229.08,TII,1.979470459
United States,Turkiye,Export,  All Products,Export (US$ Thousand),1996,2886097.813,TII,0.661717114
United States,UAE,Export,  All Products,Export (US$ Thousand),1996,2526890.214,TII,0.828759509
United States,Viet Nam,Export,  All Products,Export (US$ Thousand),1996,616046.202,TII,0.482852812
United States, World,Import,  All Products,Import (US$ Thousand),1996,817627145.6,TII,1
United States,Afghanistan,Import,  All Products,Import (US$ Thousand),1996,17795.968,TII,0.297350131
United States,Bangladesh,Import,  All Products,Import (US$ Thousand),1996,1422825.842,TII,0.321424436
United States,Belarus,Import,  All Products,Import (US$ Thousand),1996,56675.946,TII,0.066483584
United States,China,Import,  All Products,Import (US$ Thousand),1996,54396457.4,TII,0.63436396
United States,Egypt,Import,  All Products,Import (US$ Thousand),1996,713464.383,TII,1.588754884
United States,India,Import,  All Products,Import (US$ Thousand),1996,6528517.394,TII,0.881531905
United States,Iran,Import,  All Products,Import (US$ Thousand),1996,6.425,TII,0.000253953
United States,Iraq,Import,  All Products,Import (US$ Thousand),1996,,TII,0.077874845
United States,Israel,Import,  All Products,Import (US$ Thousand),1996,6545800.972,TII,1.900869432
United States,Japan,Import,  All Products,Import (US$ Thousand),1996,117962860.9,TII,2.018743972
United States,South Korea,Import,  All Products,Import (US$ Thousand),1996,23297375.85,TII,1.910569993
United States,Myanmar,Import,  All Products,Import (US$ Thousand),1996,116085.827,TII,0.09556052
United States,Pakistan,Import,  All Products,Import (US$ Thousand),1996,1348738.764,TII,1.177847598
United States,Qatar,Import,  All Products,Import (US$ Thousand),1996,163195.089,TII,0.7118515
United States,Russia,Import,  All Products,Import (US$ Thousand),1996,3744550.439,TII,0.491133932
United States,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1996,9442676.363,TII,1.979470459
United States,Turkiye,Import,  All Products,Import (US$ Thousand),1996,1883040.759,TII,0.661717114
United States,UAE,Import,  All Products,Import (US$ Thousand),1996,537857.445,TII,0.828759509
United States,Viet Nam,Import,  All Products,Import (US$ Thousand),1996,341684.511,TII,0.482852812
Russia, World,Import,  All Products,Import (US$ Thousand),1996,33880091.84,TII,1
Russia,Afghanistan,Import,  All Products,Import (US$ Thousand),1996,5421.802,TII,2.611891323
Russia,Bangladesh,Import,  All Products,Import (US$ Thousand),1996,6001.166,TII,0.076196017
Russia,Belarus,Import,  All Products,Import (US$ Thousand),1996,3710139,TII,29.5509428
Russia,China,Import,  All Products,Import (US$ Thousand),1996,948951.489,TII,1.766403243
Russia,India,Import,  All Products,Import (US$ Thousand),1996,556505.49,TII,1.480250004
Russia,Iraq,Import,  All Products,Import (US$ Thousand),1996,,TII,0.200600574
Russia,Israel,Import,  All Products,Import (US$ Thousand),1996,109213.703,TII,1.253905458
Russia,Japan,Import,  All Products,Import (US$ Thousand),1996,571858.519,TII,0.706914805
Russia,Myanmar,Import,  All Products,Import (US$ Thousand),1996,114.142,TII,0.279299436
Russia,Pakistan,Import,  All Products,Import (US$ Thousand),1996,6169.535,TII,0.43795633
Russia,Qatar,Import,  All Products,Import (US$ Thousand),1996,0.03,TII,0.034741649
Russia,Saudi Arabia,Import,  All Products,Import (US$ Thousand),1996,1697.57,TII,0.107571772
Russia,Turkiye,Import,  All Products,Import (US$ Thousand),1996,349478.822,TII,2.714008322
Russia,United States,Import,  All Products,Import (US$ Thousand),1996,2703404.198,TII,0.382776358
Russia,Viet Nam,Import,  All Products,Import (US$ Thousand),1996,36759.493,TII,0.671360534
Russia, World,Export,  All Products,Export (US$ Thousand),1996,103092748.4,TII,1
Russia,Afghanistan,Export,  All Products,Export (US$ Thousand),1996,11158.588,TII,2.611891323
Russia,Bangladesh,Export,  All Products,Export (US$ Thousand),1996,91681.6,TII,0.076196017
Russia,Belarus,Export,  All Products,Export (US$ Thousand),1996,5572101,TII,29.5509428
Russia,China,Export,  All Products,Export (US$ Thousand),1996,5247619.974,TII,1.766403243
Russia,India,Export,  All Products,Export (US$ Thousand),1996,1081683.949,TII,1.480250004
