Country,Partner Name,Trade Flow,Product Group,Indicator,Year,Amount,SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production,TII,TII Score
China,Bangladesh,Import,  All Products,Import (US$ Thousand),1996,34217.725,27731,China,Bangladesh,F-7M Airguard,fighter aircraft,Aircraft,1996,Yes,3,No,1999,No,New,11,11,33,No,TII,4.128202903
China,Bangladesh,Import,  All Products,Import (US$ Thousand),1996,34217.725,27731,China,Bangladesh,F-7M Airguard,fighter aircraft,Aircraft,1996,Yes,1,No,2000,No,New,11,11,11,No,TII,4.128202903
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,32698,China,Iran,JY-14,air search radar,Sensors,1996,Yes,1,Yes,1999,Yes,New,13.5,13.5,13.5,No,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,32698,China,Iran,JY-14,air search radar,Sensors,1996,Yes,1,Yes,2000,Yes,New,13.5,13.5,13.5,No,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,32698,China,Iran,JY-14,air search radar,Sensors,1996,Yes,1,Yes,2001,Yes,New,13.5,13.5,13.5,No,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2001,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2010,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2006,Yes,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,1999,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2003,No,New,0.3,0.3,3,Yes,TII,1.198521352
China,Iran,Import,  All Products,Import (US$ Thousand),1996,386141.351,39941,China,Iran,Type-86 APC,APC,Armoured vehicles,1996,Yes,10,Yes,2002,No,New,0.3,0.3,3,Yes,TII,1.198521352
