Country,Partner Name,Indicator,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
China, World,TII,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,Afghanistan,TII,2.274545007,2.23282312,2.043127754,1.273694086,0.861415097,0.899720095,0.414087853,0.257413237,0.38568674,0.193874473,0.321712411,0.900500354,0.286456744,0.288602036,0.149257457,0.159720422,0.371206681,0.246200643,0.326216401,0.290977672,0.389214591,0.406841343,0.502379691,0.539217479,0.414304099,0.446291734
China,Bangladesh,TII,4.128202903,3.45953683,3.042660179,3.370239511,3.368549444,3.074180721,3.164549152,2.812036397,2.940092613,2.878128315,2.954317481,1.34487869,2.736821752,2.548134227,2.507110176,2.378216231,2.32204528,2.437273706,2.398484822,2.510338704,2.606638469,2.407913261,2.452216314,2.318055913,2.135832011,2.160329054
China,Belarus,TII,0.048941321,0.060496246,0.024828348,0.02552829,0.12737598,0.024258856,0.035498778,0.046716823,0.05975267,0.06262712,0.113846563,0.186393267,0.096747139,0.097710346,0.214348107,0.150001325,0.195327932,0.187599853,0.2418172,0.214810265,0.314246032,0.213137828,0.231935176,0.353276534,0.430048246,0.42723943
China,China,TII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
China,Egypt,TII,0.842100642,0.754866991,0.867605401,1.088260887,0.897218268,0.933443552,0.847243216,0.734591969,0.745042669,0.782214231,0.943364872,1.762836127,0.981957085,0.874355535,0.813835597,0.953462751,0.928153633,0.9401763,0.947274971,1.053424317,1.00519832,0.918600578,1.067752782,1.056532829,1.120993049,1.087233601
China,India,TII,0.751461881,0.873859846,0.934546034,0.879076733,0.769242481,0.904164254,0.995454016,0.845830523,1.009037532,1.021099581,1.185727914,2.2593099,1.347357859,1.34040855,1.335393364,1.354470243,1.143463362,1.215571195,1.257026586,1.333235974,1.466169951,1.447466391,1.483026152,1.486261718,1.503583717,1.395772464
China,Iran,TII,1.198521352,1.194777073,1.728600323,1.730211996,1.065342775,0.976429494,1.104640005,1.155811212,0.889618648,0.902454263,1.101896947,2.468984979,1.331963962,1.328249666,1.497398308,1.760678036,1.436180886,2.025740168,2.833152266,2.259804827,2.114952234,2.016479885,1.89844484,1.925036024,2.022222564,1.566883007
China,Iraq,TII,0.118866253,2.182816135,2.236119792,2.466984045,2.131352423,1.370176884,1.183459844,0.162080255,0.178767778,0.427549435,0.438741377,1.249990068,0.661919833,0.695705381,0.999443234,0.955837132,0.951502102,1.120832838,1.134584517,1.211125045,1.358725963,1.299293827,1.14793414,1.278555191,1.456528602,1.147873137
China,Israel,TII,0.246030063,0.295995529,0.404995622,0.484191054,0.429320942,0.498260442,0.480840173,0.502049815,0.491877305,0.505884257,0.564356738,1.306707092,0.623970234,0.691602777,0.706273356,0.77720042,0.759290753,0.798170161,0.730418531,0.810373941,0.766664219,0.829142071,0.81107625,0.821904117,0.945235934,0.9490708
China,Japan,TII,3.807781249,3.448207083,3.780650086,3.549773342,3.418951025,3.510277977,3.293917697,3.078008148,2.900088652,2.565467196,2.309762713,3.827160615,2.214808798,2.369000368,2.152565268,2.173858129,2.013445224,1.999971782,1.868764144,1.815196306,1.902025068,1.9205678,1.881455737,1.806419353,1.790238792,1.707167128
China,South Korea,TII,2.222477906,2.443505926,2.601580601,2.322272143,2.255412502,2.530229403,2.450998538,2.373656738,2.356342045,2.320539072,2.273385,4.19857859,2.476817925,2.119104088,1.903334272,1.916724705,1.858666149,1.84707286,1.831401882,1.865567314,1.902687815,1.849223006,1.822869015,1.896756945,1.800792867,1.790025953
China,Myanmar,TII,6.390417541,5.552970343,6.045176035,5.012419554,4.948920911,5.082399582,5.966721615,5.920656864,4.772458288,4.280354877,4.626695074,8.757243136,3.789951345,3.997774673,4.002387132,4.006256486,3.491047906,3.580219615,3.593388242,3.305200816,3.043062,3.209283149,3.438645077,3.682115919,3.490229013,3.17936019
China,Pakistan,TII,2.369284242,2.532903746,2.191185724,2.508968639,2.077199105,2.273100515,2.50788189,2.567889289,2.101172136,2.040305832,1.987672213,4.809832601,2.118741709,2.092530839,2.099252014,2.33179434,2.360189689,2.591688718,2.606250934,2.805503971,2.807058359,2.606905537,2.402248196,2.476085301,2.292329056,2.365107714
China,Qatar,TII,0.306179608,0.12392141,0.15026465,0.397077525,0.229680898,0.158632621,0.191943783,0.152304764,0.156074506,0.228382302,0.277291113,0.555817608,0.351904084,0.323337689,0.332178056,0.463107536,0.361767437,0.471327294,0.456209189,0.420302574,0.318760802,0.357522134,0.486469236,0.417603871,0.546850966,0.717529124
China,Russia,TII,1.026215257,1.004632185,1.02979901,1.22380265,0.999577658,0.866403575,0.878904051,0.993456255,0.986894742,1.010726184,0.861601984,1.282339505,0.926352036,0.795202726,0.93708679,0.917414885,0.915000181,0.986063192,1.118774421,1.070486241,1.234540617,1.190298732,1.265039719,1.25004546,1.239796679,1.328680706
