Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China, World,Export,  All Products,Export (US$ Thousand),84940013.57,91743944.7,121006260.2,148779500,151047461.8,182791584.8,183808987.8,194930778.5,249202551,266098208.6,325595969.8,438227767.4,593325581.4,761953409.5,968935601,1220059668,1430693066,1201646758,1577763751,1898388435,2048782233,2209007280,2342292696,2273468224,2097637172,2263370504,2486439720,2499206994,2589098353,3316022134,3593601436
China,Afghanistan,Export,  All Products,Export (US$ Thousand),23605.168,32351.58,27368.686,31601.179,31305.162,32474.356,24164.796,16676.965,19891.09,17265.197,19910.993,26446.713,56973.084,51208.556,100486.966,169532.599,151626.761,213366.201,175264.609,230009.966,464033.546,328258.809,393559.251,361819.889,430653.261,541205.985,667589.88,599799.484,500680.466,472113.93,553083.383
China,Bangladesh,Export,  All Products,Export (US$ Thousand),214769.728,202898.928,370436.384,632944.578,653039.639,696110.472,660475.656,700869.171,899591.799,955154.791,1066270.705,1334669.027,1906268.226,2402740.257,3090402.929,3349758.08,4556074.057,4441066.871,6789096.629,7810657.633,7970093.212,9705086.684,11782272.27,13894707.66,14300635.41,15169021,17753058.74,17323286.47,15075630.65,23815017.84,26808334.83
China,Belarus,Export,  All Products,Export (US$ Thousand),9017.513,20438.912,9457.341,10007.947,9467.258,16833.984,6456.837,5330.218,41116.508,8753.309,16222.29,32224.659,64945.697,81279.477,215798.524,227227.351,361362.946,280421.17,795610.109,705134.767,919816.968,872159.994,1110594.383,748901.088,1090019.147,933361.512,1141588.557,1799069.2,2113223.541,2704976.883,3275466.377
China,China,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
China,Egypt,Export,  All Products,Export (US$ Thousand),174559.712,199595.84,279603.04,439645.416,404442.832,464945.874,574741.114,715855.388,805301.211,873207.874,852923.375,936758.397,1388434.677,1934035.925,2975501.314,4468099.23,5874260.276,5107359.456,6040984.268,7283232.684,8223921.373,8362674.701,10460509.6,11958576.94,10436255.85,9485643.131,11987207.51,12200705.39,13627746.81,17993552.14,17170216.92
China,India,Export,  All Products,Export (US$ Thousand),158432.144,259181.04,573001.216,765266.182,686014.214,933720.409,1016671.567,1161927.746,1560736.215,1895832.787,2671164.208,3343225.003,5936007.816,8934277.108,14581297.37,24051379.61,31585380.67,29666559.64,40913958.3,50536415.93,47677451.83,48432411.24,54217421.73,58228027.09,58397760.57,68042252.51,76675655.64,74825299.13,66719471.59,96367053.57,118501522.8
China,Iran,Export,  All Products,Export (US$ Thousand),335642.176,402698.816,265738.368,277889.317,394580.868,496445.973,656503.035,662733.737,713440.642,888579.972,1393302.849,2315162.332,2554760.983,3296584.988,4488951.66,7363291.644,8163428.066,7918687.116,11092187.78,14761998.86,11598798.61,14036645.33,24338486.49,17770106.93,16417272.59,18584814.8,13939733.39,9589986.041,8491806.865,8070589.098,9440300.063
China,Iraq,Export,  All Products,Export (US$ Thousand),665.68,4870.525,1552.785,297.682,1034.51,58978.73,104671.092,147953.912,327258.501,394940.602,420819.101,56055.724,149552.912,408108.934,491158.084,724940.246,1271161.565,1838448.828,3589866.73,3824651.342,4911784.801,6894088.32,7743841.287,7909228.953,7547857.704,8330414.675,7903323.801,9461322.795,10922539.88,10363459.48,13989337.28
China,Israel,Export,  All Products,Export (US$ Thousand),12767.118,76382,142062.976,185659.259,188631.848,259949.4,361284.211,496693.253,718840.988,832612.053,899439.666,1140901.174,1541986.013,1954336.521,2561315.252,3673391.873,4257001.665,3652651.123,5037049.627,6740797.88,6988137.193,7645304.406,7739105.565,8615948.86,8174292.923,8918466.72,9274415.805,9614963.788,11253576.12,15069015.06,16481073.88
China,Japan,Export,  All Products,Export (US$ Thousand),11678698.5,15776635.9,21578598.4,28466672.51,30886209.35,31838563.47,29660095.39,32410577.5,41654314.05,44940523.79,48433840.39,59408697.99,73509042.09,83986277.41,91622673.33,102062496.2,116132454.5,97910965.89,121043964.5,148268708.1,151626580.7,150132589,149391340.5,135616442.8,129268487.4,137258933.3,147048752.8,143244518.4,142596624.7,164626275.6,172927436
China,South Korea,Export,  All Products,Export (US$ Thousand),2404899.072,2860491.52,4402437.632,6687795.923,7499845.618,9126860.979,6251495.873,7807603.69,11292363.93,12518777.84,15534560.64,20094764.74,27811560.29,35107775.98,44522206.86,56432015.98,73931989.52,53679876.61,68766311.13,82920307.88,87673764.18,91164951.04,100333450.8,101286384.2,93707103.46,102703776.6,108756144,110974410.4,112476215.9,145931342.1,162621428.2
China,Myanmar,Export,  All Products,Export (US$ Thousand),259154.32,324645.728,369087.936,617792.637,521118.239,570099.346,514314.83,406494.908,496443.484,497349.456,724747.021,910223.657,938436.043,934847.228,1207417.933,1700118.421,1977766.301,2261242.729,3475524.257,4821497.462,5673756.23,7338688.821,9367646.907,9650911.459,8187651.272,8948464.266,10547768.5,12310992.45,12547510.39,10291672.39,13615875.11
China,Pakistan,Export,  All Products,Export (US$ Thousand),551428.16,751922.752,605689.664,788604.644,623011.236,689213.995,523412.251,580594.54,670317.458,814968.254,1242111.002,1854990.825,2465791.925,3427661.674,4239365.171,5831349.376,6051066.209,5515073.607,6937791.618,8439729.435,9276492.101,11019596.12,13244481.94,16441888.41,17232654.06,18250788.59,16933316.65,16166921.09,15357592.99,23939277.39,23089416.31
China,Qatar,Export,  All Products,Export (US$ Thousand),8301.609,10870.828,10429.942,9527.929,21602.373,14930.282,16169.333,27846.73,31225.962,31555.93,49543.4,61802.055,103518.127,203668.491,436809.052,622613.468,1074163.869,872411.299,855444.268,1198757.273,1205100.145,1710907.973,2254011.137,2275641.175,1515659.122,1682329.963,2482414.272,2409678.189,2631009.7,3862308.507,3988918.209
China,Saudi Arabia,Export,  All Products,Export (US$ Thousand),444251.488,578835.904,624850.624,733897.056,747796.768,854249.024,895811.987,943821.749,1144742.927,1354114.676,1671543.733,2146802.96,2775457.898,3824415.297,5055833.989,7839958.562,10823467.97,8977851.553,10366444.55,14849707.39,18452900.81,18739813.77,20575241.93,21612927.98,18650906.5,18375008.21,17428036.04,23876505.59,28094807.84,29186812.74,37990174.78
China,Turkiye,Export,  All Products,Export (US$ Thousand),68912.128,165688.256,184543.36,430684.993,406604.503,556780.433,659063.142,636582.025,1077894.816,674006.603,1089043.515,2065139.564,2821291.823,4253725.596,7303284.863,10484265.62,10606311.97,8333534.857,11942037.33,15613704.58,15585293.35,17746990.92,19305457.61,18607841.07,16686640.52,18121507.52,17788595,17323704.71,20346420.26,28894483.66,34033748.51
