Reporter Name,Partner Name,Trade Flow,Product Group,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China, World,Import,  All Products,Import (US$ Thousand),80585302.02,103958937.6,115613605.9,132083499.6,138832734.8,142370324.1,140236765.3,165699066.6,225093731,243552880.6,295170104.1,412759796.4,561228748,659952762.1,791460867.9,956115447.6,1132562161,1005555225,1396001565,1743394866,1818199228,1949992315,1959234625,1679564325,1587920688,1843792939,2133605397,2079285499,2069567865,2679412024,2715997517
China,Afghanistan,Import,  All Products,Import (US$ Thousand),2052.878,2556.641,11762.461,16639.581,3454.525,608.103,212.066,2899.861,5395.751,161.597,79.936,612.288,947.329,1511.677,185.744,2376.291,2693.017,1375.868,3680.419,4403.087,5186.565,9595.295,17371.806,11770.644,4534.101,3427.619,24079.054,29279.265,54512.3,49513.779,42016.266
China,Albania,Import,  All Products,Import (US$ Thousand),201.823,51.587,,,2469.144,,1.354,,1.808,1.467,85.053,57.918,5957.247,7042.678,12841.603,66341.169,88259.172,64319.826,147572.616,155367.791,142720.886,234840.915,189322.397,127861.359,128596.467,196222.142,108035.667,102720.65,81120.571,164446.682,186300.87
China,Algeria,Import,  All Products,Import (US$ Thousand),2696.153,6647.521,3768.851,22027.415,11.424,18.132,124.32,62193.667,25937.941,69988.286,81897.046,99216.863,259077.512,363732.733,143121.609,1160931.952,849219.211,946619.79,1177317.334,1960886.72,2311905.609,2164546.739,1314681.787,767362.894,331886.154,448323.792,1177700.854,1141251.265,997055.55,1080771.289,1143560.635
China,Andorra,Import,  All Products,Import (US$ Thousand),701.961,127.121,,,,,,,3.497,,12.603,0.008,3.714,9.046,0.403,6.835,45.229,182.653,34.251,148.323,324.002,14.788,30.877,10.67,108.121,103.064,144.993,210.011,432.094,714.66,191.001
China,Angola,Import,  All Products,Import (US$ Thousand),29409.208,180710.464,47984.324,136907.302,243751.143,603496.146,153697.71,355651.156,1842692.967,721828.095,1087049.343,2205934.88,4717339.146,6581828.714,10933295.11,12888664.6,22382523.83,14675830.7,22815049.45,24922180.49,33561896.92,31972669.35,31106015.05,16001611.38,13966117.08,20698709.47,25826510.36,23837402.14,14757730.34,21027427.35,23245987.16
China,Antigua and Barbuda,Import,  All Products,Import (US$ Thousand),234.776,125.345,57.024,59.975,,46.436,89.328,84.3,26.23,0.189,0.811,,,,4.705,0.01,75.49,95.765,52.715,50.891,71.351,338.65,38.431,6.664,37.342,8.389,44.553,69.638,32.718,2689.283,1048.837
China,Argentina,Import,  All Products,Import (US$ Thousand),200117.984,219901.056,268559.2,370393.21,517629.162,722201.72,724455.072,590784.242,929989.911,1281026.505,1239463.842,2729075.711,3254874.419,3799209.692,3700185.258,6334230.244,9361349.629,4306017.303,6804128.143,6256571.958,6560805.532,6085768.453,5246944.098,5717476.184,5118095.612,4754226.912,3516448.06,7390979.168,6814456.938,7114746.541,8593470.158
China,Armenia,Import,  All Products,Import (US$ Thousand),,15700.918,,64.535,,,58.124,13.316,4102.218,1174.126,6659.934,1781.56,2155.666,351.481,8412.52,37774.05,11506.191,23938.617,46703.414,34631.988,35165.81,73138.531,167172.701,208972.279,280618.246,302677.119,302143.196,531304.034,794486.88,1087619.88,941064.195
China,Aruba,Import,  All Products,Import (US$ Thousand),118.305,246.727,,,,,,1.563,,33.641,41.143,24.659,59.607,136.665,,114.325,225.369,145.866,142.092,34.937,13242.925,156.625,184284.278,5.655,378.307,7.04,34.296,47.837,88.553,6.142,207.787
China,Australia,Import,  All Products,Import (US$ Thousand),1671112.96,1949434.496,2451763.2,2584487.84,3433737.756,3247546.388,2682453.563,3607136.936,5024006.965,5425925.47,5850571.701,7300072.115,11552488.75,16193626.75,19323299.47,25801493.54,37435132.81,39438780.15,61105168.27,82667477.34,84568208.58,98954088.03,97630887.22,73509970.81,70895012.7,95009120.93,105810855.9,121289663.2,117693742.9,162886360.4,142091499.3
China,Austria,Import,  All Products,Import (US$ Thousand),321407.2,315842.272,364814.208,562563.33,301093.984,255083.355,276335.469,438146.712,472350.954,662051.931,892917.501,1104791.175,1509821.978,1609216.299,2057363.16,2453309.465,3120815.304,3405645.433,4229254.595,4760979.939,4723751.732,5030350.258,5851704.19,4968031.497,5026543.805,5865911.15,6923240.152,7623297.148,6639807.037,8415438.358,8236376.544
China,Azerbaijan,Import,  All Products,Import (US$ Thousand),424.88,3118.346,4966.789,2710.314,208.86,14190.066,162.031,148.585,3979.866,4276.387,1454.972,34668.849,40209.403,24400.916,22018.798,1442.213,114863.737,128316.641,86547.383,193720.359,214161.731,233583.286,297062.697,222904.058,412081.779,577453.747,382017.889,869232.294,698779.881,205027.002,245870.102
China,"Bahamas, The",Import,  All Products,Import (US$ Thousand),,16.553,,11650.938,13.665,31.793,,,0.035,21.6,58.48,781.415,694.84,188.349,68.018,18118.651,608.514,148.317,153.066,62901.399,116884.947,76.523,188.072,24365.188,51602.909,21008.615,12876.51,78589.114,72928.31,17249.473,8824.737
China,Bahrain,Import,  All Products,Import (US$ Thousand),2088.144,5257.083,4482.613,18778.511,28807.971,15107.372,27330.417,38907.521,72105.913,77676.897,51758.457,52130.102,92395.996,68939.617,64815.227,102446.323,131316.949,211236.915,251912.196,325836.051,348345.054,305180.622,183964.392,111542.81,63722.602,123945.74,150124.723,195330.151,146309.02,399694.878,251210.964
China,Bangladesh,Import,  All Products,Import (US$ Thousand),5944.7,8715.253,16557.342,45073.571,34217.725,54342.682,26468.929,14250.771,18844.712,16699.463,32358.56,33392.785,57006.736,78603.114,98835.268,114171.063,131909.511,140721.65,268875.896,449036.34,479727.412,602366.367,761107.883,816845.185,869397.551,875144.719,984423.113,1036533.766,799754.63,1046826.409,981507.434
China,Barbados,Import,  All Products,Import (US$ Thousand),,,2.756,,,,,13.443,13.165,57.997,127.652,44.693,241.127,210.848,293.775,1131.438,1418.197,2232.798,3807.871,6707.895,10443.038,12687.985,14802.018,18829.603,18636.375,24771.159,21274.99,20262.968,15162.203,15246.219,26552.437
China,Belarus,Import,  All Products,Import (US$ Thousand),51790.336,44386.096,17254.732,28528.44,27625.341,25780.367,10877.031,20687.398,72506.611,34505.322,63778.36,96721.469,153953.618,490442.463,428773.42,612587.58,497824.135,529594.008,476097.301,599466.415,663130.414,580512.302,738277.242,1010810.007,435188.908,515383.927,571053.716,914859.793,888692.999,1088531.695,1804433.186
China,Belgium,Import,  All Products,Import (US$ Thousand),,,,,,,,970408.539,1386144.702,1720943.9,2022046.88,2768183.891,3519779.645,4005464.53,4304298.321,4973168.688,5336972.091,5849392.464,7839464.848,10130949.09,9964753.73,9848071.432,10059221.66,7005805.217,6874055.367,7549894.909,6967715.296,6865912.602,7828104.293,8571009.104,8727437.46
China,Belgium-Luxembourg,Import,  All Products,Import (US$ Thousand),470114.528,816810.944,1066419.392,1146906.003,1058572.631,948318.677,924569.286,,,,,,,,,,,,,,,,,,,,,,,,
China,Belize,Import,  All Products,Import (US$ Thousand),,,,,,258.199,258.437,,206.748,,159.454,988.369,,205.036,20.279,0.189,27.284,12.646,252.135,2902.317,7787.345,8385.11,7272.471,1786.134,934.713,413.138,255.541,150.5,437.787,45.169,711.406
China,Benin,Import,  All Products,Import (US$ Thousand),545.868,7.758,474.221,6119.735,1960.631,8778.936,3489.857,2422.371,1124.856,59.84,17005.899,68398.282,111272.693,139392.855,89382.926,113159.474,110161.584,93782.107,125631.617,176474.574,261537.667,206006.603,266630.687,77849.434,55392.328,91590.374,48324.704,154356.896,58247.536,231568.791,257035.799
China,Bermuda,Import,  All Products,Import (US$ Thousand),89.932,53.986,,,,28.423,,,,3.927,,,,2.936,,17.703,3.824,3.724,,3,,0.424,10.524,1.508,74.178,10.601,83.979,10.584,3.638,20.034,45.016
China,Bhutan,Import,  All Products,Import (US$ Thousand),,1.583,113.928,20.783,9.688,,,22.023,,15.498,20.957,5.048,170.677,1.631,0.221,0.886,,52.378,12.767,75.999,12.684,8.568,104.472,350.067,131.887,176.825,8.487,46.967,32.527,10.922,2854.439
China,Bolivia,Import,  All Products,Import (US$ Thousand),,2.998,6.289,10,2585.677,1250.341,76.609,2475.289,12160.418,9514.944,12080.887,6879.72,29547.516,31052.992,46494.804,56355.845,150602.016,125493.621,189085.917,274535.395,324194.52,275774.273,492566.431,443824.954,326088.784,354577.153,329704.235,322151.302,291211.057,645210.34,870844.624
China,Bonaire,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,,,,,,,,,,4.833,1.302,0.145,47145.177,0.113,0.009,0.635,0.2,0.386,1.045,,0.022
China,Bosnia and Herzegovina,Import,  All Products,Import (US$ Thousand),,15.455,,4.376,,,125.007,310.638,2495.053,674.173,383.462,638.613,780.094,103406.457,120104.486,27287.113,6613.839,13562.187,17597.023,29894.728,23300.875,20880.328,37242.373,53729.08,43546.206,57254.159,77401.761,76878.578,72684.402,137639.276,122706.171
China,Botswana,Import,  All Products,Import (US$ Thousand),,,,,,,,,10.309,,5.083,2175.988,2860.708,4004.099,8166.108,26435.247,183913.357,65286.578,53365.7,100667.978,119478.885,193857.6,213879.358,138734.945,62142.098,33548.493,14229.756,17134.203,87486.159,172706.363,398377.258
China,Brazil,Import,  All Products,Import (US$ Thousand),519302.08,863067.52,1058777.344,1231530.073,1484065.187,1488961.327,1133103.394,968529.665,1621440.791,2347232.533,3003019.897,5842291.688,8672861.322,9992524.117,12909495.16,18342070.99,29863442.63,28280982.51,38099447.35,52386750.28,52281126.77,54299122.65,51653224.89,44089358.06,45855047.25,58857155.27,77569499.99,79962547.05,85517209.22,109944552.1,109522043.3
China,British Virgin Islands,Import,  All Products,Import (US$ Thousand),,,,,,,,7.613,32.685,,564.234,,2670,2.047,2.22,110.956,560.099,200.839,30.725,26.187,6.821,87.517,9.005,8.406,8.991,106.787,25.884,348.406,267.001,127.597,58.542
China,Brunei,Import,  All Products,Import (US$ Thousand),5127.204,,,25.137,16.136,0.525,13.849,,61347.594,148237.846,241812.618,312373.499,251054.887,207728.15,215312.114,246077.331,88884.918,282146.357,664329.97,566815.74,373085.183,89803.505,189717.197,101156.073,221546.472,351809.713,247510.37,452877.043,1475993.95,2225479.875,2247559.18
China,Bulgaria,Import,  All Products,Import (US$ Thousand),58387.632,134011.176,72865.072,19670.331,33917.207,16582.464,2799.298,9221.878,13470.065,28462.81,21474.542,58732.932,67141.464,89119.496,81850.608,158003.697,216781.956,140997.02,322999.381,459981.528,840157.165,956742.907,984859.638,748306.6,590108.479,969183.021,1146431.159,1164136.835,1370982.164,1798532.915,1271674.251
China,Burkina Faso,Import,  All Products,Import (US$ Thousand),12778.205,0.646,,,,181.128,4258.755,1997.249,,,701.662,32340.432,124111.964,163266.398,193312.963,155039.766,62483.77,116175.194,121094.433,182408.451,232656.312,186891.061,123903.95,44064.898,13999.131,20436.214,95118.08,59857.839,79956.816,192111.456,104015.107
China,Burundi,Import,  All Products,Import (US$ Thousand),20.556,48.613,53.604,7.504,2.246,,,,1119.04,2.379,490.731,1734.586,318.687,327.082,1746.395,673.626,121.419,969.077,3458.396,13748.216,10677.713,9306.831,4143.095,2815.539,2736.689,6929.048,11927.715,12946.221,7637.538,8605.609,10073.163
China,Cambodia,Import,  All Products,Import (US$ Thousand),178.367,1210.23,1002.079,5724.109,6875.627,45013.502,48180.964,55788.309,59490.717,34804.308,24549.735,26001.422,29931.897,27304.92,35091.355,51065.879,38828.183,36892.151,93627.088,184297.983,215313.85,363634.853,482914.653,666595.118,830513.47,1007581.678,1376654.693,1444323.229,1498508.854,2096736.392,1838523.98
China,Cameroon,Import,  All Products,Import (US$ Thousand),16041.751,76.954,9138.439,27569.261,35030.123,98375.237,48645.767,76313.797,138027.539,183698.792,114656.79,115222.488,148905.979,66753.332,199662.643,160017.569,479190.637,397667.764,460903.575,662949.235,890431.771,366168.547,688876.834,781615.344,402230.109,508503.058,1095349.604,1009680.551,761326.749,1636683.364,655929.887
China,Canada,Import,  All Products,Import (US$ Thousand),1926516.992,1375164.032,1848679.424,2681255.058,2572526.72,2006902.878,2237152.48,2333974.834,3751083.275,4027798.934,3626878.469,4374492.403,7352990.098,7511155.033,7662114.176,10979291.55,12673350.93,12026170.24,14921961.38,22167123.34,23209147.82,25236970.65,25182010.41,26213745.79,18336833.95,20423006.6,28359370.5,28152088.59,22063322.62,30475949.11,42383256.53
China,Cape Verde,Import,  All Products,Import (US$ Thousand),,,,,,,,,,,0.262,0.353,,,0.344,0.05,,0.193,12.06,12.062,1.115,0.16,3.02,22.606,83.281,8.01,290.397,28.691,1209.992,1146.922,20.486
China,Cayman Islands,Import,  All Products,Import (US$ Thousand),5.643,,13.509,,,,,,,,1.489,,,,115.521,4.897,,6.516,316.262,90.067,122.815,264.497,1.214,0.999,17.771,5.869,121.274,82.481,12.963,106.035,13.946
China,Central African Republic,Import,  All Products,Import (US$ Thousand),8.526,58.021,168.533,161.839,2848.702,1078.093,9.606,,300.696,1389.67,1257.013,2312.529,6245.3,8990.376,8608.876,6611.853,21438.597,14645.378,25164.045,28137.864,48619.399,40649.156,29272.8,26531.973,31565.17,28107.918,54250.254,36201.8,57075.172,36066.424,25025.721
China,Chad,Import,  All Products,Import (US$ Thousand),856.159,11.182,3.015,1187.191,496.924,1597.924,,,13.876,10.816,1534.314,2837.824,222585.779,191083.375,260313.008,84069.391,41604.208,65367.344,495797.04,265318.912,220729.086,103500.226,108341.71,90692.359,114908.269,279913.925,95945.414,452750.775,421471.363,196798.073,1085583.682
China,Chile,Import,  All Products,Import (US$ Thousand),409640.224,281655.52,183097.712,230485.564,455247.094,415107.487,421444.758,663573.139,1338506.791,1303461.01,1567090.825,2248157.701,3666723.69,4991535.62,5735871.68,10280371.56,11172814.37,12790520.5,17935193.27,20578292.55,20631632.61,20707684.72,20985875.55,18438961.68,18604963.68,21175532.14,26730709.19,26229200.57,29932011.95,39439657.85,44486040.48
China,Colombia,Import,  All Products,Import (US$ Thousand),23043.674,773.767,709.22,13686.678,878.904,3378.08,8219.727,20682.578,32158.057,26932.831,29118.091,60459.307,175507.309,205153.591,263817.426,1095795.978,1125408.277,974820.557,2103362.901,2394850.575,3156664.307,3620270.772,7598890.457,3545140.771,2544629.368,3885439.304,5887947.938,6408277.604,4336016.082,5617751.735,7042164.112
China,Comoros,Import,  All Products,Import (US$ Thousand),37.985,12.528,6.878,,,0.683,,,5.256,41.693,,0.64,,0.583,0.683,1.773,,2.496,24.089,6.874,6.181,7.795,8.95,22.21,13.151,37.56,27.965,31.723,117.36,114.114,77.588
China,"Congo, Dem. Rep.",Import,  All Products,Import (US$ Thousand),5601.239,3040.661,2459.436,1456.813,1739.852,1907.045,2241.414,1316.426,975.184,7885.232,12473.266,26241.576,99584.853,175771.992,368550.111,460175.988,1583860.124,1136447.612,2505716.427,3161987.572,3527095.184,2745655.11,2811558.079,2627427.301,2084962.098,3289989.305,5655537.196,4429185.342,7083727.458,11675881.33,16780865.47
