SIPRI AT Database ID,Supplier,Recipient,Designation,Description,Armament category,Order date,Order date is estimate,Numbers delivered,Numbers delivered is estimate,Delivery year,Delivery year is estimate,Status,SIPRI estimate,TIV deal unit,TIV delivery values,Local production
62170,China,Afghanistan,Tiger AV,APV,Armoured vehicles,2017,Yes,10,No,2017,No,New,0.14,0.14,1.4,No
26065,China,Albania,HY-2 CDS,coastal defence system,Sensors,1994,Yes,1,Yes,1995,No,New,15,15,15,No
26064,China,Albania,HY-2,anti-ship missile,Missiles,1994,No,15,Yes,1995,No,New,0.7,0.7,10.5,No
55802,China,Algeria,C-802A,anti-ship/land-attack missile,Missiles,2012,Yes,35,Yes,2016,Yes,New,1,1,35,No
55802,China,Algeria,C-802A,anti-ship/land-attack missile,Missiles,2012,Yes,15,Yes,2015,Yes,New,1,1,15,No
32502,China,Algeria,C-802,anti-ship missile,Missiles,1999,Yes,9,Yes,2001,Yes,New,0.9,0.9,8.1,No
32502,China,Algeria,C-802,anti-ship missile,Missiles,1999,Yes,8,Yes,2002,Yes,New,0.9,0.9,7.2,No
32502,China,Algeria,C-802,anti-ship missile,Missiles,1999,Yes,8,Yes,2000,Yes,New,0.9,0.9,7.2,No
50689,China,Algeria,Daxin -,training ship,Ships,2004,Yes,1,No,2006,No,New,65.6,65.6,65.6,No
62272,China,Algeria,CH-4A,UAV,Aircraft,2017,Yes,5,Yes,2018,Yes,New,3,3,15,No
65206,China,Algeria,Type-07 APC,APC,Armoured vehicles,2013,Yes,3,Yes,2014,Yes,New,0.35,0.35,1.05,No
57072,China,Algeria,PLZ-45 155mm,self-propelled gun,Artillery,2013,Yes,50,Yes,2014,No,New,1.35,1.35,67.5,No
64338,China,Algeria,WZ-502G APC,APC,Armoured vehicles,2013,Yes,10,Yes,2016,No,New,0.35,0.35,3.5,No
64338,China,Algeria,WZ-502G APC,APC,Armoured vehicles,2013,Yes,10,Yes,2017,Yes,New,0.35,0.35,3.5,No
65205,China,Algeria,PCZ-45,ALV,Armoured vehicles,2013,No,50,Yes,2014,Yes,New,0.5,0.5,25,No
65204,China,Algeria,Type-704,artillery locating radar,Sensors,2013,Yes,8,Yes,2014,Yes,New,8,8,64,No
36484,China,Algeria,WA-021 155mm,towed gun,Artillery,2007,Yes,18,Yes,2010,Yes,New,1,1,18,No
37654,China,Algeria,Type-347G,fire control radar,Sensors,2000,Yes,1,Yes,2000,Yes,New,2.5,2.5,2.5,No
37654,China,Algeria,Type-347G,fire control radar,Sensors,2000,Yes,1,Yes,2001,Yes,New,2.5,2.5,2.5,No
37654,China,Algeria,Type-347G,fire control radar,Sensors,2000,Yes,1,Yes,2002,Yes,New,2.5,2.5,2.5,No
37653,China,Algeria,Type-363,air search radar,Sensors,1983,Yes,1,No,2002,No,New,4.75,4.75,4.75,No
37653,China,Algeria,Type-363,air search radar,Sensors,1983,Yes,1,No,1995,No,New,4.75,4.75,4.75,No
61502,China,Algeria,SR-5,self-propelled MRL,Artillery,2016,Yes,18,Yes,2017,No,New,1.1,1.1,19.8,No
54877,China,Algeria,C-28A -,frigate,Ships,2012,Yes,1,No,2015,No,New,225.5,225.5,225.5,No
54877,China,Algeria,C-28A -,frigate,Ships,2012,Yes,2,No,2016,No,New,225.5,225.5,451,No
63452,China,Algeria,Red Arrow-12,anti-tank missile,Missiles,2019,Yes,100,Yes,2020,No,New,0.03,0.03,3,No
66137,China,Algeria,CLSI 120mm,mortar,Artillery,2021,Yes,10,Yes,2022,No,New,0.25,0.25,2.5,No
63240,China,Algeria,DWL-002,air search system,Sensors,2018,Yes,2,Yes,2019,Yes,New,12,12,24,No
63240,China,Algeria,DWL-002,air search system,Sensors,2018,Yes,2,Yes,2018,Yes,New,12,12,24,No
62273,China,Algeria,CH-3,armed UAV,Aircraft,2017,Yes,5,Yes,2018,Yes,New,2.4,2.4,12,No
59212,China,Algeria,FM-90,SAM,Missiles,2012,Yes,15,Yes,2015,No,New,0.15,0.15,2.25,No
59212,China,Algeria,FM-90,SAM,Missiles,2012,Yes,35,Yes,2016,No,New,0.15,0.15,5.25,No
62378,China,Algeria,W-86 120mm,mortar,Artillery,2017,No,10,Yes,2018,Yes,New,0.25,0.25,2.5,No
62379,China,Algeria,SM-4 120mm,self-propelled mortar,Artillery,2017,Yes,18,Yes,2018,Yes,New,0.6,0.6,10.8,No
56771,China,Angola,vehicle engine 301-400,vehicle engine,Engines,2013,No,45,Yes,2015,Yes,New,0.05,0.05,2.25,No
62562,China,Angola,K-8 -,trainer/combat aircraft,Aircraft,2018,No,12,Yes,2020,No,New,3.5,3.5,42,No
62912,China,Angola,MA-60 -,transport aircraft,Aircraft,2018,No,2,No,2019,No,New,8,8,16,No
